Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Mr. Keith Johnson,frice@example.net,"Chicago, IL",General Dentist,DSO,DDS with Specialization,27,Contract,Large,Rural,False,Fluent,86475.14,317.92,Draw - Term More than 1 year,30.0,,,,15000.0,4000.0
Charles Dixon,martinelizabeth@example.net,"New York, NY",Orthodontist,Private Practice,DMD,2,Part-time,Medium,Rural,True,Native,128183.21,471.26,Draw - Term Less than 1 year,30.0,The production details,20.0,The collection details,10000.0,
Samantha May,kimberly49@example.net,"Phoenix, AZ",Periodontist,Private Practice,DMD with Specialization,15,Part-time,Small,Urban,True,Fluent,134451.73,494.31,Draw,25.0,The production details,15.0,The collection details,,
Johnny James,joannastewart@example.org,"New York, NY",Endodontist,Private Practice,DMD with Specialization,8,Contract,Large,Rural,False,Native,117524.66,432.08,Draw - Term More than 1 year,,,,The collection details,5000.0,
Richard Wilson,munozbrittney@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD,0,Temporary,Small,Rural,False,Basic,148770.46,546.95,Draw - Term Less than 1 year,20.0,,50.0,The collection details,,
Glenn Armstrong,christopher36@example.net,"Phoenix, AZ",Endodontist,DSO,DDS,12,Full-time,Large,Urban,True,Native,84187.09,309.51,Draw,30.0,The production details,,,15000.0,4000.0
Valerie Lopez,william13@example.com,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,24,Temporary,Small,Rural,True,Basic,126463.74,464.94,Draw,,,,,,
Kathy Dawson,ellissean@example.org,"Phoenix, AZ",Endodontist,DSO,DMD,20,Temporary,Large,Urban,False,Proficient,103221.58,379.49,Guaranteed,25.0,,,,5000.0,2000.0
Connie Lindsey,xbradley@example.com,"New York, NY",General Dentist,Private Practice,DMD,22,Part-time,Small,Rural,False,Proficient,139562.77,513.1,Draw - Term Less than 1 year,30.0,,50.0,,15000.0,2000.0
Linda Simmons,john53@example.org,"Chicago, IL",Orthodontist,Private Practice,DDS,10,Part-time,Large,Rural,False,Native,100542.28,369.64,Guaranteed,30.0,,30.0,,,
Glenn Jones,carlos50@example.com,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,14,Contract,Medium,Rural,True,Proficient,112638.54,414.11,Draw - Term More than 1 year,10.0,,20.0,The collection details,,4000.0
Michael Kennedy,melissadickerson@example.com,"Phoenix, AZ",Orthodontist,DSO,DMD with Specialization,7,Temporary,Small,Urban,True,Fluent,93691.26,344.45,Guaranteed,30.0,,15.0,The collection details,5000.0,
Tracy Vasquez,littlerodney@example.com,"Chicago, IL",Endodontist,Private Practice,DDS,15,Full-time,Small,Rural,True,Proficient,98510.14,362.17,Guaranteed,10.0,The production details,20.0,,10000.0,6000.0
Joanne White,evansstephanie@example.com,"New York, NY",Orthodontist,Private Practice,DDS with Specialization,5,Full-time,Small,Urban,False,Fluent,111918.67,411.47,Draw - Term Less than 1 year,40.0,,40.0,The collection details,,
Wayne Lopez,danapeters@example.com,"Chicago, IL",General Dentist,DSO,DDS,20,Part-time,Small,Rural,False,Basic,83540.78,307.14,Draw,10.0,,15.0,,5000.0,2000.0
Christopher Rodriguez,robert34@example.net,"Chicago, IL",Periodontist,Private Practice,DDS,22,Part-time,Small,Urban,False,Native,113473.29,417.18,Draw - Term Less than 1 year,25.0,The production details,10.0,The collection details,10000.0,4000.0
James Evans,zwalter@example.org,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,11,Contract,Large,Rural,True,Fluent,118859.59,436.98,Guaranteed,15.0,,40.0,,15000.0,
Herbert Stephens,kyle13@example.net,"New York, NY",Pedodontist,DSO,DMD with Specialization,23,Contract,Small,Rural,False,Fluent,100365.93,368.99,Draw - Term More than 1 year,,,20.0,The collection details,,
Terry Bates,gilbertdavidson@example.net,"Chicago, IL",Pedodontist,DSO,DMD,17,Part-time,Small,Rural,False,Basic,109262.91,401.7,Draw,20.0,The production details,,The collection details,15000.0,4000.0
Kevin Davis,jennifer94@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD with Specialization,28,Full-time,Medium,Rural,False,Proficient,133024.41,489.06,Draw - Term More than 1 year,15.0,,,,5000.0,6000.0
Michael Rodriguez,millerbrendan@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD,15,Full-time,Medium,Rural,True,Basic,84235.45,309.69,Draw - Term Less than 1 year,20.0,,15.0,,,6000.0
Adrian King,finleyeric@example.com,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,8,Part-time,Small,Rural,False,Native,130202.26,478.68,Draw - Term More than 1 year,10.0,,,,5000.0,
Brandon Howell,brianhanson@example.com,"New York, NY",Pedodontist,DSO,DMD,20,Contract,Large,Rural,True,Basic,120176.07,441.82,Draw - Term Less than 1 year,40.0,The production details,50.0,The collection details,10000.0,
Ashley Warren,bsutton@example.com,"Chicago, IL",Orthodontist,Private Practice,DDS,5,Contract,Small,Rural,True,Basic,80118.26,294.55,Guaranteed,30.0,The production details,40.0,,10000.0,2000.0
Kayla Castro PhD,vcoleman@example.net,"Chicago, IL",Periodontist,Private Practice,DDS,3,Contract,Small,Rural,True,Native,128367.53,471.94,Draw,30.0,,25.0,,15000.0,
Laura Martin,wjohnston@example.com,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,5,Part-time,Medium,Urban,False,Proficient,120625.48,443.48,Draw - Term Less than 1 year,25.0,,40.0,The collection details,,6000.0
Becky Spence,kimberlykidd@example.net,"Chicago, IL",General Dentist,DSO,DDS,18,Contract,Large,Rural,False,Basic,128294.35,471.67,Guaranteed,,,,,,6000.0
Kevin Gonzales,saraoneal@example.net,"New York, NY",Endodontist,DSO,DDS with Specialization,28,Temporary,Small,Urban,True,Basic,129854.97,477.41,Draw,,The production details,10.0,,,2000.0
Tonya Vasquez,ghutchinson@example.net,"Phoenix, AZ",Pedodontist,DSO,DDS,29,Full-time,Small,Urban,True,Proficient,88037.83,323.67,Draw - Term Less than 1 year,,The production details,,,5000.0,6000.0
Zachary Sosa,jamesfuller@example.com,"Houston, TX",General Dentist,DSO,DDS with Specialization,15,Temporary,Large,Urban,True,Native,103650.58,381.07,Draw - Term More than 1 year,,,50.0,,5000.0,6000.0
Kimberly Austin,christiansmith@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DMD,1,Full-time,Medium,Rural,False,Fluent,127822.5,469.94,Guaranteed,15.0,,20.0,,,4000.0
Michelle Hernandez,joshuaacevedo@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DMD,28,Part-time,Small,Urban,True,Native,149482.99,549.57,Draw,10.0,The production details,,The collection details,10000.0,2000.0
Dr. Kevin Kim,amy03@example.com,"Houston, TX",Endodontist,DSO,DDS with Specialization,15,Part-time,Small,Urban,True,Proficient,87851.17,322.98,Draw,40.0,The production details,25.0,,5000.0,6000.0
Dawn Cain,clarkedonald@example.com,"New York, NY",Endodontist,Private Practice,DDS with Specialization,27,Full-time,Large,Rural,False,Proficient,81264.03,298.76,Draw,40.0,,20.0,The collection details,10000.0,
Jennifer Murphy,peggy31@example.com,"Chicago, IL",Orthodontist,Private Practice,DDS,18,Part-time,Small,Rural,True,Basic,147480.13,542.21,Draw,20.0,The production details,20.0,,,2000.0
Regina Dominguez,amy55@example.org,"Chicago, IL",Pedodontist,Private Practice,DDS,2,Temporary,Large,Urban,True,Native,120017.6,441.24,Draw,30.0,,,The collection details,15000.0,4000.0
Joseph Elliott,brandonlong@example.net,"Houston, TX",Periodontist,DSO,DMD with Specialization,1,Full-time,Large,Urban,True,Fluent,130525.28,479.87,Guaranteed,,,20.0,The collection details,5000.0,
Richard Mendez,ashley99@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,17,Part-time,Small,Urban,False,Native,106940.17,393.16,Guaranteed,10.0,,30.0,,5000.0,
Donna Davis,srodriguez@example.net,"New York, NY",Pedodontist,Private Practice,DMD,27,Contract,Medium,Rural,True,Basic,143978.27,529.33,Draw,30.0,,10.0,The collection details,5000.0,6000.0
Nicole Johnson,juliadickson@example.org,"New York, NY",Endodontist,DSO,DDS,2,Full-time,Small,Rural,True,Proficient,102429.64,376.58,Draw - Term Less than 1 year,,The production details,,,15000.0,6000.0
Michael Dalton,clarktimothy@example.net,"Houston, TX",Periodontist,DSO,DMD with Specialization,2,Full-time,Small,Rural,False,Native,98171.54,360.92,Draw - Term More than 1 year,,,20.0,,5000.0,2000.0
Beth Stanley,carrpatrick@example.org,"Los Angeles, CA",Pedodontist,DSO,DMD,28,Contract,Medium,Urban,True,Fluent,81306.43,298.92,Guaranteed,40.0,The production details,15.0,,10000.0,4000.0
Katelyn Alexander,mcollins@example.net,"Chicago, IL",General Dentist,Private Practice,DDS,5,Contract,Small,Rural,True,Proficient,83477.18,306.9,Guaranteed,15.0,,20.0,,10000.0,6000.0
Walter Smith,sharpchad@example.net,"New York, NY",Orthodontist,DSO,DMD,9,Contract,Small,Rural,True,Proficient,144881.41,532.65,Draw - Term Less than 1 year,15.0,,50.0,,10000.0,4000.0
Miss Angel Hawkins,ramseyjeffrey@example.com,"Houston, TX",Periodontist,DSO,DMD with Specialization,21,Temporary,Large,Urban,False,Basic,137232.03,504.53,Draw - Term More than 1 year,,,,,5000.0,6000.0
Leonard Lozano,alexandracooper@example.org,"Los Angeles, CA",General Dentist,DSO,DDS,30,Contract,Medium,Urban,True,Proficient,92761.2,341.03,Guaranteed,50.0,,20.0,,5000.0,6000.0
Mrs. Jennifer Poole,brandon78@example.com,"Chicago, IL",Endodontist,Private Practice,DMD,9,Temporary,Small,Rural,True,Native,119010.17,437.54,Guaranteed,30.0,The production details,20.0,The collection details,5000.0,2000.0
Joel Farmer,jnorman@example.net,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,24,Temporary,Small,Urban,True,Proficient,131596.69,483.81,Draw - Term More than 1 year,,,40.0,The collection details,,2000.0
Monica Donovan,fernandezashley@example.org,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,7,Part-time,Medium,Urban,False,Native,85066.25,312.74,Guaranteed,50.0,The production details,,The collection details,10000.0,
Bryan Donaldson,angelagreen@example.org,"New York, NY",Periodontist,Private Practice,DMD with Specialization,1,Full-time,Small,Rural,False,Proficient,89088.98,327.53,Guaranteed,25.0,,25.0,,5000.0,2000.0
Amy Evans,philip22@example.net,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,28,Contract,Small,Urban,True,Proficient,125325.75,460.76,Guaranteed,40.0,,,The collection details,5000.0,6000.0
Daniel Hayes,payneronald@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,16,Full-time,Large,Urban,True,Native,138181.97,508.02,Draw,,,,,5000.0,2000.0
Gary Walker,weaverjoel@example.com,"Chicago, IL",Periodontist,DSO,DMD,4,Temporary,Small,Urban,True,Fluent,107291.94,394.46,Guaranteed,,,20.0,,10000.0,4000.0
Paul Frank,zwilliams@example.net,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,18,Part-time,Medium,Urban,False,Fluent,84748.6,311.58,Draw,10.0,,,,10000.0,4000.0
Michele Diaz,karengallegos@example.com,"Chicago, IL",Pedodontist,DSO,DDS,7,Part-time,Large,Rural,False,Native,86384.21,317.59,Guaranteed,40.0,,,The collection details,,2000.0
Sydney Moore,cflynn@example.org,"Houston, TX",Endodontist,DSO,DMD with Specialization,27,Contract,Medium,Rural,True,Fluent,130285.34,478.99,Draw,15.0,,20.0,The collection details,10000.0,2000.0
Haley Gutierrez,jon81@example.org,"New York, NY",General Dentist,Private Practice,DMD with Specialization,18,Part-time,Small,Urban,False,Basic,97695.1,359.17,Draw - Term Less than 1 year,15.0,The production details,,,10000.0,
Heidi Walker,wendyfreeman@example.org,"Chicago, IL",Orthodontist,DSO,DDS with Specialization,27,Part-time,Large,Urban,True,Fluent,93042.72,342.07,Draw,,,40.0,,5000.0,6000.0
Claire Howard,james02@example.org,"Chicago, IL",Pedodontist,Private Practice,DDS with Specialization,15,Contract,Large,Rural,False,Proficient,93683.96,344.43,Draw - Term Less than 1 year,50.0,The production details,15.0,The collection details,5000.0,6000.0
Donna Hawkins,floressylvia@example.net,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,26,Temporary,Large,Urban,True,Basic,108834.92,400.13,Draw,40.0,The production details,15.0,,,
Jenna Drake,wendybush@example.com,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,8,Contract,Large,Urban,False,Proficient,81698.67,300.36,Draw,20.0,The production details,,,,4000.0
Craig Mcmahon,alyssa30@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DMD,15,Part-time,Medium,Urban,True,Fluent,141398.7,519.85,Draw - Term More than 1 year,,,50.0,,15000.0,6000.0
Linda Jennings,qrivers@example.net,"Houston, TX",Periodontist,DSO,DDS,30,Part-time,Medium,Rural,False,Native,141209.69,519.15,Draw - Term More than 1 year,10.0,,,,,2000.0
David Weiss,trevor34@example.org,"New York, NY",Periodontist,Private Practice,DMD,16,Full-time,Large,Rural,True,Basic,114938.59,422.57,Draw - Term Less than 1 year,30.0,,50.0,The collection details,5000.0,6000.0
Nicole Marshall,frostamanda@example.com,"Phoenix, AZ",Pedodontist,Private Practice,DDS,22,Full-time,Medium,Rural,True,Fluent,89571.2,329.31,Guaranteed,,,30.0,,5000.0,2000.0
Jimmy Kemp,simpsonamy@example.com,"Chicago, IL",Periodontist,Private Practice,DDS,20,Part-time,Large,Rural,True,Fluent,149479.83,549.56,Draw,,The production details,10.0,The collection details,15000.0,6000.0
William Duncan,nhill@example.org,"Phoenix, AZ",General Dentist,DSO,DMD,7,Full-time,Medium,Urban,True,Native,137410.06,505.18,Draw - Term Less than 1 year,50.0,,25.0,The collection details,,2000.0
Audrey Davis,ethomas@example.com,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,0,Contract,Medium,Urban,False,Fluent,112005.66,411.79,Draw,50.0,The production details,,The collection details,15000.0,6000.0
Sheryl Green,kennethwatson@example.com,"Chicago, IL",General Dentist,DSO,DDS with Specialization,19,Temporary,Large,Urban,True,Native,139934.97,514.47,Guaranteed,20.0,,50.0,,,4000.0
Gary Holmes,butlerrobert@example.org,"New York, NY",Pedodontist,DSO,DDS,1,Temporary,Small,Rural,True,Proficient,148825.53,547.15,Guaranteed,30.0,,,The collection details,15000.0,4000.0
Sabrina Salas,cperez@example.org,"Los Angeles, CA",Periodontist,Private Practice,DMD,30,Full-time,Large,Rural,True,Proficient,108782.5,399.94,Draw,,,15.0,The collection details,,4000.0
Julie Franklin,jamiejackson@example.com,"Houston, TX",Endodontist,DSO,DDS,12,Part-time,Small,Rural,False,Basic,108072.24,397.32,Draw,,The production details,,,15000.0,4000.0
Christian Thompson,gregory53@example.org,"Phoenix, AZ",Orthodontist,DSO,DMD with Specialization,28,Full-time,Large,Rural,False,Native,134054.69,492.85,Guaranteed,,,15.0,The collection details,5000.0,6000.0
Danielle Perez,dianediaz@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DDS,21,Contract,Small,Urban,False,Native,144727.91,532.09,Draw - Term More than 1 year,20.0,The production details,,,5000.0,6000.0
Bryan Lopez,elaine23@example.com,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,5,Contract,Large,Rural,True,Fluent,105426.31,387.6,Draw - Term Less than 1 year,,,40.0,,5000.0,6000.0
Margaret Parker,ksmith@example.net,"Chicago, IL",Endodontist,DSO,DDS,17,Temporary,Small,Urban,False,Proficient,121592.78,447.03,Guaranteed,30.0,,50.0,,10000.0,6000.0
Luis Lyons,orozcobradley@example.org,"Chicago, IL",Endodontist,Private Practice,DMD,18,Full-time,Medium,Urban,True,Fluent,103290.09,379.74,Guaranteed,,The production details,20.0,The collection details,15000.0,2000.0
John Le,yeseniahatfield@example.com,"Houston, TX",Pedodontist,Private Practice,DDS with Specialization,1,Full-time,Small,Rural,False,Fluent,144695.96,531.97,Guaranteed,15.0,The production details,,,5000.0,6000.0
Misty Perez,alvarezdavid@example.net,"Chicago, IL",Endodontist,DSO,DDS with Specialization,23,Full-time,Small,Rural,True,Fluent,109960.67,404.27,Draw - Term More than 1 year,50.0,The production details,,,,
Justin Hunter,hamptonmichael@example.com,"New York, NY",Endodontist,Private Practice,DDS,22,Temporary,Large,Urban,False,Basic,144274.99,530.42,Draw - Term Less than 1 year,,,20.0,The collection details,15000.0,4000.0
Samantha Lambert,middletoncrystal@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,29,Temporary,Large,Urban,True,Native,141115.25,518.81,Guaranteed,50.0,The production details,20.0,The collection details,15000.0,6000.0
Chad Leonard,tyler56@example.org,"Phoenix, AZ",Pedodontist,DSO,DDS,11,Full-time,Small,Rural,False,Proficient,135132.31,496.81,Draw,15.0,,30.0,,10000.0,6000.0
Crystal Lynch,ryan47@example.org,"Houston, TX",General Dentist,Private Practice,DDS,5,Part-time,Medium,Urban,False,Native,126930.0,466.65,Guaranteed,10.0,,25.0,,,4000.0
Lisa Harris,hwallace@example.net,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,1,Contract,Large,Rural,True,Native,100383.41,369.06,Draw,,The production details,50.0,,10000.0,4000.0
Alexandra Peterson,christinagarza@example.net,"Chicago, IL",General Dentist,DSO,DMD,24,Part-time,Small,Urban,False,Native,94876.46,348.81,Draw - Term More than 1 year,,,15.0,,10000.0,6000.0
Julia Burns,davidwilliams@example.com,"Phoenix, AZ",Periodontist,DSO,DDS,19,Temporary,Medium,Urban,True,Native,119724.81,440.16,Draw - Term More than 1 year,,The production details,25.0,,10000.0,
April Flores,rhondabooth@example.org,"New York, NY",Periodontist,Private Practice,DDS,14,Full-time,Large,Urban,True,Proficient,124510.2,457.76,Guaranteed,10.0,The production details,,,15000.0,2000.0
Jonathan Wilson,gloriawiggins@example.com,"Los Angeles, CA",Endodontist,DSO,DDS with Specialization,29,Contract,Small,Urban,True,Basic,84867.75,312.01,Guaranteed,10.0,,15.0,The collection details,10000.0,
Lindsay Jones,johnhenderson@example.com,"New York, NY",Periodontist,DSO,DDS with Specialization,20,Temporary,Large,Urban,False,Proficient,138821.37,510.37,Draw - Term More than 1 year,,,,,5000.0,2000.0
Debra Parker,richardlogan@example.net,"Houston, TX",Endodontist,DSO,DMD with Specialization,4,Full-time,Medium,Urban,False,Basic,81682.36,300.3,Guaranteed,30.0,,,,5000.0,
Brian Morgan,kmartin@example.net,"Houston, TX",General Dentist,Private Practice,DDS,10,Full-time,Small,Rural,False,Fluent,107000.87,393.39,Draw,20.0,The production details,10.0,The collection details,10000.0,2000.0
Veronica Norton,adamgonzalez@example.org,"Los Angeles, CA",Orthodontist,Private Practice,DDS,15,Part-time,Small,Urban,False,Proficient,81602.91,300.01,Guaranteed,,,,,,
Richard Harris,ipitts@example.org,"Houston, TX",Orthodontist,DSO,DMD with Specialization,21,Part-time,Large,Urban,True,Proficient,139245.25,511.93,Draw - Term Less than 1 year,,,10.0,The collection details,10000.0,6000.0
Jonathan Phillips,dlewis@example.com,"Chicago, IL",Endodontist,Private Practice,DMD,16,Part-time,Small,Rural,False,Basic,124574.85,458.0,Guaranteed,10.0,The production details,,The collection details,,4000.0
Natalie Stewart,richard86@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,10,Full-time,Medium,Rural,False,Basic,90768.32,333.71,Draw,20.0,The production details,50.0,,5000.0,4000.0
David Williams,melanie33@example.com,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,1,Part-time,Medium,Urban,True,Proficient,88995.49,327.19,Guaranteed,25.0,The production details,15.0,The collection details,,4000.0
Michael Acosta,philip67@example.org,"New York, NY",Pedodontist,Private Practice,DDS,26,Full-time,Small,Rural,True,Native,132508.77,487.16,Draw - Term Less than 1 year,50.0,,40.0,,,2000.0
Megan Martin,craigdawn@example.com,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,15,Temporary,Large,Urban,True,Fluent,88153.62,324.09,Draw - Term Less than 1 year,15.0,,,The collection details,,
Jacob Hernandez,millerandrew@example.net,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,23,Temporary,Medium,Rural,False,Proficient,147355.69,541.75,Guaranteed,50.0,,30.0,,15000.0,6000.0
Danielle Smith,teresa76@example.net,"Houston, TX",Pedodontist,Private Practice,DDS,17,Full-time,Large,Urban,True,Native,121737.75,447.57,Draw,10.0,The production details,20.0,,,4000.0
Roberto Torres,april12@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,9,Temporary,Small,Urban,True,Basic,139606.11,513.26,Draw - Term More than 1 year,15.0,The production details,25.0,,15000.0,4000.0
Sarah Sims,gloversean@example.net,"Los Angeles, CA",Endodontist,DSO,DMD,0,Part-time,Large,Rural,True,Proficient,133082.64,489.27,Guaranteed,,,,,10000.0,
Sara Jordan,nicholas83@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS,25,Full-time,Large,Rural,False,Proficient,87757.64,322.64,Draw - Term More than 1 year,50.0,,,The collection details,5000.0,4000.0
Michelle Johnson,kelly89@example.com,"Chicago, IL",Pedodontist,DSO,DDS with Specialization,27,Full-time,Small,Urban,False,Fluent,99569.55,366.06,Draw - Term Less than 1 year,20.0,,20.0,,10000.0,
Brian Campbell,stacy80@example.com,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,26,Contract,Medium,Rural,False,Native,102995.22,378.66,Draw - Term More than 1 year,25.0,The production details,20.0,,5000.0,2000.0
Kyle Holmes,biancabrewer@example.net,"Phoenix, AZ",Periodontist,Private Practice,DMD with Specialization,3,Temporary,Large,Urban,False,Basic,115839.25,425.88,Draw - Term More than 1 year,,,40.0,,5000.0,2000.0
Steven Atkins,obrieneric@example.net,"Los Angeles, CA",Pedodontist,DSO,DMD,17,Full-time,Large,Rural,True,Basic,133874.42,492.19,Draw - Term More than 1 year,30.0,The production details,25.0,The collection details,15000.0,
Amanda Martinez,sheri98@example.net,"New York, NY",Pedodontist,DSO,DMD with Specialization,27,Temporary,Large,Rural,False,Native,86691.8,318.72,Draw,,,15.0,,,2000.0
Leah Thomas,nalvarado@example.com,"Los Angeles, CA",Orthodontist,DSO,DMD,14,Full-time,Small,Rural,True,Native,143577.75,527.86,Guaranteed,25.0,,15.0,The collection details,5000.0,4000.0
Jason Mosley Jr.,kristycase@example.net,"Houston, TX",Periodontist,DSO,DMD with Specialization,6,Part-time,Small,Urban,True,Native,89690.36,329.74,Draw - Term More than 1 year,,The production details,25.0,The collection details,15000.0,
Terry Richardson,harrisonveronica@example.org,"Los Angeles, CA",General Dentist,DSO,DDS,15,Temporary,Large,Rural,False,Native,90086.77,331.2,Guaranteed,,,50.0,The collection details,10000.0,6000.0
David Moore,nortonkatherine@example.org,"Chicago, IL",General Dentist,DSO,DDS with Specialization,4,Full-time,Small,Urban,True,Proficient,127340.05,468.16,Draw - Term More than 1 year,25.0,,20.0,,15000.0,4000.0
Megan Moss,nancywelch@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DMD,1,Full-time,Small,Rural,False,Basic,132595.33,487.48,Draw,25.0,The production details,20.0,,5000.0,4000.0
Sylvia Ryan,xhenson@example.org,"Los Angeles, CA",General Dentist,Private Practice,DMD with Specialization,0,Full-time,Large,Rural,False,Proficient,131080.96,481.92,Draw,,,,,,2000.0
Tamara Adams,shaneoconnor@example.org,"Los Angeles, CA",Periodontist,Private Practice,DMD,21,Part-time,Small,Urban,False,Proficient,107019.89,393.46,Draw - Term More than 1 year,10.0,,30.0,,10000.0,2000.0
Mary Watson,maurice77@example.net,"Chicago, IL",Orthodontist,DSO,DMD,11,Full-time,Small,Rural,True,Native,134900.39,495.96,Draw,,,,,15000.0,4000.0
Becky King,wrightjoshua@example.net,"Phoenix, AZ",General Dentist,Private Practice,DDS,29,Full-time,Large,Urban,True,Fluent,111968.23,411.65,Draw - Term More than 1 year,10.0,The production details,25.0,,15000.0,2000.0
Laura Friedman,david58@example.com,"New York, NY",Orthodontist,DSO,DMD,0,Full-time,Small,Urban,False,Native,119760.76,440.3,Guaranteed,40.0,,,,10000.0,6000.0
Oscar Christian,tconley@example.net,"New York, NY",Periodontist,DSO,DDS with Specialization,21,Part-time,Large,Rural,False,Fluent,149407.43,549.29,Draw,,,,,15000.0,
Mary Lester,arroyojuan@example.com,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,25,Full-time,Small,Urban,False,Fluent,112277.99,412.79,Guaranteed,25.0,The production details,,,15000.0,2000.0
Christopher Bennett,colinbryant@example.com,"New York, NY",Pedodontist,Private Practice,DMD with Specialization,7,Part-time,Small,Rural,True,Fluent,126846.26,466.35,Draw - Term Less than 1 year,15.0,,50.0,The collection details,,
Dr. Alex Harvey,klyons@example.net,"Houston, TX",Pedodontist,DSO,DMD,17,Full-time,Small,Urban,True,Native,139171.55,511.66,Guaranteed,30.0,,15.0,,,
Monica Lucas,huntalison@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS,16,Temporary,Large,Urban,False,Native,110540.27,406.4,Draw - Term Less than 1 year,25.0,,40.0,The collection details,15000.0,
Jared Martinez,scottpalmer@example.com,"Houston, TX",Periodontist,Private Practice,DDS,5,Temporary,Medium,Urban,True,Native,87537.84,321.83,Guaranteed,40.0,,,,10000.0,4000.0
Jamie Reyes,mckayandrew@example.com,"New York, NY",Orthodontist,DSO,DDS,26,Contract,Large,Urban,False,Proficient,138394.23,508.8,Draw,,The production details,30.0,,15000.0,6000.0
Olivia Graves,baileymichael@example.net,"Chicago, IL",Endodontist,Private Practice,DDS,10,Contract,Small,Urban,True,Proficient,86835.12,319.25,Draw,40.0,The production details,,,15000.0,4000.0
Elizabeth Owens,jason28@example.org,"Phoenix, AZ",Periodontist,DSO,DMD,29,Temporary,Small,Urban,False,Fluent,105420.65,387.58,Draw,10.0,,,The collection details,10000.0,2000.0
Eric Allen,anthonybarnes@example.org,"Houston, TX",Periodontist,DSO,DMD with Specialization,18,Temporary,Medium,Urban,False,Native,136781.37,502.87,Draw - Term Less than 1 year,50.0,,15.0,,15000.0,
Michael Rogers,oli@example.net,"Chicago, IL",General Dentist,Private Practice,DDS with Specialization,13,Contract,Medium,Urban,False,Native,123098.03,452.57,Draw - Term More than 1 year,15.0,,25.0,The collection details,5000.0,6000.0
Richard King,jermaineevans@example.org,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,1,Temporary,Large,Urban,True,Fluent,109931.78,404.16,Draw,50.0,,,The collection details,10000.0,6000.0
Cynthia Ford,wattsolivia@example.com,"Los Angeles, CA",General Dentist,DSO,DMD,8,Temporary,Medium,Urban,False,Proficient,107134.81,393.88,Draw - Term More than 1 year,50.0,The production details,10.0,,10000.0,4000.0
Michael Soto,robert63@example.com,"Phoenix, AZ",Periodontist,Private Practice,DMD with Specialization,8,Full-time,Small,Urban,False,Fluent,138673.59,509.83,Draw,,,10.0,,15000.0,4000.0
Donna Schneider,daniel80@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS with Specialization,26,Temporary,Small,Rural,False,Proficient,93280.14,342.94,Guaranteed,30.0,The production details,20.0,,,
Krystal Ortiz,hmorgan@example.com,"Phoenix, AZ",General Dentist,Private Practice,DDS,4,Part-time,Medium,Rural,True,Fluent,105903.06,389.35,Guaranteed,25.0,The production details,10.0,The collection details,10000.0,
Ryan Jones,priscilla36@example.com,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,22,Full-time,Large,Urban,True,Basic,98849.77,363.42,Draw - Term More than 1 year,40.0,,40.0,,10000.0,2000.0
Jason Webb,zking@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS,1,Full-time,Large,Urban,False,Fluent,137390.58,505.11,Draw - Term Less than 1 year,15.0,,25.0,The collection details,5000.0,2000.0
